¿Qué es JavaScript?,Un lenguaje de estilo,[#T]Un lenguaje de programación,Un lenguaje de marcado,Un lenguaje de diseño
¿Cómo se declara una variable en JavaScript?,varName = 5,[#T]var varName = 5;,variable varName = 5;,let varName == 5
¿Qué palabra clave se usa para declarar una variable que no puede cambiar?,constName,change,[#T]const,let
¿Qué símbolo se usa para comentarios de una sola línea en JavaScript?,<!--,[#T]//,/* */,\
¿Cómo se declara una función en JavaScript?,function() {},func() {},method() {},[#T]function myFunction() {}
¿Qué operador se usa para la comparación estricta?,==,[#T]===,!=,=>
¿Cómo se imprime algo en la consola del navegador?,alert,[#T]console.log(),print(),write()
¿Cómo se define una condición en JavaScript?,switch,[#T]if (condition) {},when,case
¿Qué estructura se usa para repetir una acción varias veces?,while,[#T]for,if,switch
¿Cómo se redondea un número hacia abajo en JavaScript?,Math.ceil(),round(),[#T]Math.floor(),Math.trunc()
¿Qué operador se usa para incrementar el valor de una variable en 1?,+=,[#T]++,--,+-
¿Cómo se convierte una cadena de texto en un número entero?,parseFloat,[#T]parseInt,Number,float
¿Qué función se usa para unir dos o más cadenas de texto?,push,[#T]concat,join,merge
¿Qué devuelve typeof [] en JavaScript?,object,[#T]array,array-object,undefined
¿Cómo se agrega un elemento al final de un array?,unshift,[#T]push,concat,insert
¿Qué función elimina el último elemento de un array?,remove,[#T]pop,push,shift
¿Cómo se selecciona un elemento HTML por su ID?,querySelector,[#T]document.getElementById,document.getElementByTag,getElementByClass
¿Qué función devuelve el número de elementos en un array?,sum,[#T]length,count,size
¿Cómo se convierte un número a una cadena en JavaScript?,parseInt,[#T]toString(),toText(),stringify()
¿Qué método se usa para ordenar un array en JavaScript?,filter,[#T]sort,map,reduce
¿Qué método se usa para ejecutar una función después de un tiempo específico?,[#T]setTimeout,setInterval,delay,timewait
¿Cómo se detiene la ejecución de una función programada con setInterval?,setStop,[#T]clearInterval,stopTimer,clearTimeout
¿Qué objeto se usa para manejar fechas y horas en JavaScript?,Timer,[#T]Date,Time,Clock
¿Cómo se obtiene el año actual en JavaScript?,getMonth(),[#T]getFullYear(),getDate(),getDay()
¿Qué palabra clave detiene la ejecución de un ciclo?,end,[#T]break,stop,exit
¿Qué palabra clave se usa para saltar una iteración en un bucle?,break,continue,[#T]continue,skip,next
¿Cómo se comprueba si un valor es NaN (Not a Number)?,typeof,[#T]isNaN,isNumber,checkNaN
¿Qué palabra clave se usa para manejar excepciones en JavaScript?,error,[#T]try...catch,catch,throw
¿Qué devuelve typeof null en JavaScript?,null,[#T]object,undefined,false
¿Cómo se redondea un número al entero más cercano en JavaScript?,Math.floor,[#T]Math.round,roundUp,parseInt
¿Cómo se detiene la ejecución de una función en JavaScript?,stop,[#T]return,end,exit
¿Cómo se convierte una cadena JSON en un objeto JavaScript?,stringify,[#T]JSON.parse,JSON.stringify,parseJSON
¿Qué operador se usa para asignar valores por defecto en JavaScript?,==,&&,||,[#T]??
¿Cómo se declara una función anónima en JavaScript?,funcName() {},function named() {},[#T]function() {},func () {}
¿Cómo se comprueba si un valor es un array en JavaScript?,instanceof Array,[#T]Array.isArray(),isArray(),typeof [] === 'array'
¿Qué método se usa para ejecutar una función en cada elemento de un array?,map,[#T]forEach,reduce,filter
¿Cómo se accede a las propiedades de un objeto en JavaScript?,obj.property,[#T]obj['property'],obj->property,obj.@property
¿Cómo se elimina una propiedad de un objeto?,unset,[#T]delete,remove,drop
¿Qué método convierte un array en una cadena de caracteres?,toString,[#T]join(),concat(),map()
¿Qué palabra clave se usa para declarar una variable dentro de un bloque?,global,[#T]let,var,const
¿Cómo se comprueba si una variable está definida en JavaScript?,exists(),[#T]typeof variable !== 'undefined',isDefined(),defined()
¿Qué devuelve typeof undefined en JavaScript?,null,undefined,[#T]undefined,false
¿Cómo se llama a una función de manera inmediata en JavaScript?,setTimeout,[#T](function() {})(),function.call(),startFunction()
¿Qué método devuelve un nuevo array con los elementos que pasan una condición?,map,reduce,[#T]filter,slice
¿Qué operador lógico representa "Y" en JavaScript?,|,[#T]&&,||,and
¿Cómo se clona un objeto en JavaScript?,copyObject,[#T]Object.assign(),clone(),JSON.parse(JSON.stringify(obj))
¿Qué método devuelve la posición de un valor en un array?,[#T]indexOf,find,map,reduce
¿Cómo se combina todos los elementos de un array en una cadena de texto?,concat,[#T]join,merge,add
