¿Qué significa HTML?,Hyperlink Text Makeup Language,Home Tool Markup Language,[#T]HyperText Markup Language,HyperText Makeup Language
¿Cuál es el elemento raíz de un documento HTML?,head,[#T]html,body,div
¿Qué elemento contiene los metadatos de una página?,html,body,[#T]head,title
¿Qué etiqueta se utiliza para crear un párrafo en HTML?,div,[#T]p,br,span
¿Cómo se inserta un salto de línea en HTML?,[br],[#T]<br>,<br/>,<lb>
¿Cuál es el atributo que define el vínculo de un enlace?,alt,[#T]href,src,link
¿Qué etiqueta se usa para definir un enlace en HTML?,url,link,[#T]a,href
¿Qué atributo se usa para abrir un enlace en una nueva pestaña?,src,href,[#T]target,link
¿Cómo se inserta una imagen en HTML?,[img],picture,[#T]<img src="url" />,media
¿Qué atributo se usa para definir un texto alternativo en una imagen?,src,href,[#T]alt,title
¿Qué etiqueta se utiliza para definir un formulario en HTML?,input,[#T]form,textarea,button
¿Qué atributo se usa para especificar el tipo de un campo de entrada?,name,id,[#T]type,value
¿Qué etiqueta se usa para definir un campo de texto dentro de un formulario?,textarea,[#T]input,button,select
¿Cómo se crea una lista ordenada en HTML?,ul,[#T]ol,li,div
¿Cómo se crea una lista desordenada en HTML?,ol,[#T]ul,li,dl
¿Qué etiqueta se usa para definir un elemento dentro de una lista?,ul,[#T]li,ol,dd
¿Cómo se inserta un comentario en HTML?,/* */,//,[#T]<!-- comentario -->,<comment>
¿Qué atributo define el título de una página en el navegador?,description,[#T]title,name,meta
¿Cómo se establece el idioma de un documento HTML?,lang,[#T]<html lang="es">,<meta lang="es">,<body lang="es">
¿Qué etiqueta se usa para crear una tabla en HTML?,div,[#T]table,tr,td
¿Qué etiqueta se usa para definir una fila en una tabla?,td,[#T]tr,table,th
¿Qué etiqueta define una celda en una tabla?,tr,table,[#T]td,th
¿Qué etiqueta se usa para definir una cabecera en una tabla?,td,[#T]th,table,tr
¿Cómo se añade un encabezado en HTML?,title,[#T]h1,h2,header
¿Qué etiqueta se usa para crear un enlace a un archivo CSS?,link,[#T]<link rel="stylesheet" href="style.css">,style,css
¿Qué etiqueta se usa para enlazar un archivo JavaScript?,script,[#T]<script src="app.js"></script>,js,link
¿Cómo se establece el autor de una página en los metadatos?,creator,[#T]<meta name="author" content="Nombre">,<author>,author
¿Qué etiqueta define el cuerpo del contenido en HTML?,head,[#T]body,html,div
¿Cómo se agrupan elementos en bloque en HTML?,span,[#T]div,section,p
¿Qué etiqueta se usa para definir una cita en HTML?,q,[#T]blockquote,cite,quote
¿Cómo se inserta una línea horizontal en HTML?,[hr],[#T]<hr>,<br>,<line>
¿Qué etiqueta se usa para resaltar texto importante?,mark,[#T]strong,b,em
¿Qué etiqueta define texto en cursiva en HTML?,i,[#T]em,strong,b
¿Cómo se agrega una opción a un elemento select en un formulario?,input,[#T]option,select,button
¿Qué etiqueta se usa para definir un título dentro de un campo de formulario?,legend,[#T]label,caption,option
¿Cómo se agrupan opciones en un elemento select?,input,[#T]optgroup,group,label
¿Qué etiqueta se usa para definir una cita corta en línea?,cite,[#T]q,blockquote,quote
¿Cómo se define una imagen como fondo de un documento?,background-image,[#T]style="background-image: url('image.jpg');",img src,background-url
¿Qué atributo se usa para definir un hipervínculo como ancla?,link,href,[#T]name,id
